WP_001043449.1	10k_model_25	10	19	19	0.06	201	223	1	-3.0	9	179	4	28	hmmscan
WP_001043449.1	10k_model_25	41	118	0.00022	0.44	171	254	1	13.2	77	179	35	122	hmmscan
FD01542814_01015	Sal_96	126	179	0.00095	0.23	4	56	1	11.6	53	232	123	191	hmmscan
FD01542815_00115	Sal_89	109	139	45	0.10	17	47	1	-3.2	30	302	100	144	hmmscan
FD01542815_00115	Sal_89	201	286	1.8e-06	0.28	49	131	1	20.8	85	302	190	293	hmmscan
FD01542815_03306	10k_model_61	144	221	9.1e-05	0.35	54	122	1	15.8	77	226	92	222	hmmscan
FD01542816_02859	10k_model_61	113	140	0.0026	0.11	70	92	1	11.1	27	253	41	150	hmmscan
FD01542818_01242	Sal_70	65	82	12	0.06	112	129	1	-1.8	17	326	29	124	hmmscan
FD01542818_01242	Sal_70	112	137	5.9	0.08	49	77	1	-0.8	25	326	90	180	hmmscan
FD01542818_01242	Sal_70	181	225	11	0.14	37	81	1	-1.7	44	326	146	241	hmmscan
FD01542818_01242	Sal_70	280	316	0.00054	0.11	35	71	1	12.4	36	326	271	321	hmmscan
FD01542819_02385	10k_model_25	16	80	0.043	0.15	198	260	1	5.7	64	439	11	83	hmmscan
FD01542819_02385	10k_model_25	149	192	2.2	0.10	209	250	1	0.1	43	439	135	197	hmmscan
FD01542820_03843	Sal_103	72	118	0.01	0.09	2	53	1	8.8	46	540	71	131	hmmscan
FD01542820_03843	Sal_103	464	503	4.1	0.07	5	44	1	0.5	39	540	462	505	hmmscan
FD01542821_04915	10k_model_48	4	17	0.15	0.21	84	97	1	5.5	13	68	2	18	hmmscan
FD01542821_04915	10k_model_48	20	50	0.081	0.46	19	51	1	6.4	30	68	15	65	hmmscan
FD01542824_00446	10k_model_14	68	83	3.2	0.06	81	96	1	0.7	15	278	45	91	hmmscan
FD01542824_00446	10k_model_14	214	265	0.0077	0.19	16	67	1	9.2	51	278	207	269	hmmscan
FD01542824_04475	10k_model_4	16	72	4.4e-05	0.23	30	82	1	16.4	56	245	5	105	hmmscan
FD01542824_04475	10k_model_59	16	84	5.7e-05	0.28	48	116	1	15.3	68	245	6	101	hmmscan
FD01542829_00451	10k_model_61	114	144	0.0002	0.12	73	98	1	14.7	30	252	55	155	hmmscan
FD01542841_01511	10k_model_43	175	213	0.41	0.11	36	73	1	3.9	38	343	150	236	hmmscan
FD01542841_01511	10k_model_43	248	306	0.052	0.17	40	98	1	6.8	58	343	224	310	hmmscan
FD01542841_02647	10k_model_46	24	89	3.8e-06	0.11	2	63	1	20.0	65	610	23	101	hmmscan
FD01542842_04134	Sal_89	35	165	6e-28	0.76	1	140	1	90.3	130	173	35	165	hmmscan
FD01542843_01290	10k_model_25	26	51	1.3	0.31	193	249	1	0.8	25	84	1	79	hmmscan
FD01542846_04512	Sal_73	77	176	5.1e-47	0.56	1	101	1	150.9	99	177	77	176	hmmscan
FD01542846_04512	Sal_84	123	176	6.4e-11	0.31	62	109	1	35.5	53	177	88	176	hmmscan
FD01542846_04512	Sal_70	144	173	7.8e-05	0.17	171	197	1	15.1	29	177	14	176	hmmscan
FD01542849_03651	Sal_78	87	143	7.9e-22	0.24	1	57	1	69.9	56	240	87	152	hmmscan
FD01542849_03651	Sal_78	153	208	3.9e-09	0.23	26	80	1	29.2	55	240	144	210	hmmscan
FD01542849_03651	Sal_78	209	240	2.4e-11	0.13	53	84	1	36.3	31	240	207	240	hmmscan
FD01542849_03651	Sal_90	87	239	3.5e-30	0.64	1	133	1	97.4	152	240	87	240	hmmscan
FD01542849_03651	Sal_105	90	137	5e-08	0.20	2	48	1	25.8	47	240	89	145	hmmscan
FD01542849_03651	Sal_105	156	234	1.1e-17	0.33	23	97	1	56.9	78	240	136	238	hmmscan
FD01542849_03651	Sal_104	86	146	8.8e-11	0.25	1	60	1	35.0	60	240	86	155	hmmscan
FD01542849_03651	Sal_104	155	207	0.1	0.22	28	79	1	5.9	52	240	147	221	hmmscan
FD01542849_03651	Sal_104	212	240	8.5	0.12	56	85	1	-0.3	28	240	206	240	hmmscan
FD01542849_03651	Sal_75	90	141	2.9e-09	0.22	4	53	1	29.8	51	240	87	169	hmmscan
FD01542849_03651	Sal_75	168	240	0.77	0.30	26	88	1	2.7	72	240	139	240	hmmscan
FD01542849_03651	Sal_84	92	130	0.00026	0.16	6	43	1	14.2	38	240	87	167	hmmscan
FD01542849_03651	Sal_84	183	239	0.071	0.24	40	93	1	6.4	56	240	170	240	hmmscan
FD01542853_00445	Sal_77	2	16	0.071	0.10	17	31	1	5.8	14	146	1	23	hmmscan
FD01542853_00445	Sal_77	64	77	0.18	0.10	12	25	1	4.5	13	146	60	80	hmmscan
FD01542853_04923	10k_model_25	87	118	4.3	0.08	3	35	1	-0.9	31	425	85	182	hmmscan
FD01542853_04923	10k_model_25	320	360	0.016	0.10	136	176	1	7.1	40	425	209	411	hmmscan
FD01542853_04923	10k_model_25	379	413	5.4	0.08	213	246	1	-1.2	34	425	366	424	hmmscan
FD01542854_00192	10k_model_9	146	188	0.00074	0.19	44	82	1	13.0	42	228	143	190	hmmscan
FD01542854_02498	Sal_94	527	542	0.0011	0.02	27	42	1	11.5	15	772	524	546	hmmscan
FD01542856_04619	10k_model_61	16	77	3.2e-06	0.77	67	123	1	20.5	61	81	4	77	hmmscan
FD01542857_00471	Sal_105	110	110	30	0.00	49	49	1	-2.3	0	409	77	153	hmmscan
FD01542857_00471	Sal_105	188	212	23	0.06	50	73	1	-1.9	24	409	154	224	hmmscan
FD01542857_00471	Sal_105	312	348	0.002	0.09	35	72	1	11.1	36	409	294	370	hmmscan
FD01542857_00471	Sal_105	385	408	14	0.06	55	79	1	-1.3	23	409	364	409	hmmscan
